image_url,Id,Names,Type1,Type2,Total,HP,Attack,Defense,Sp. Atk,Sp. Def,Speed,Names_clean,Cluster
https://img.pokemondb.net/sprites/sword-shield/icon/bulbasaur.png,1,Bulbasaur,Grass,Poison,318,45,49,49,65,65,45,Bulbasaur,2
https://img.pokemondb.net/sprites/sword-shield/icon/ivysaur.png,2,Ivysaur,Grass,Poison,405,60,62,63,80,80,60,Ivysaur,4
https://img.pokemondb.net/sprites/sword-shield/icon/venusaur.png,3,Venusaur,Grass,Poison,525,80,82,83,100,100,80,Venusaur,0
https://img.pokemondb.net/sprites/sword-shield/icon/venusaur-mega.png,3,Venusaur Mega Venusaur,Grass,Poison,625,80,100,123,122,120,80,Mega Venusaur,3
https://img.pokemondb.net/sprites/sword-shield/icon/charmander.png,4,Charmander,Fire,,309,39,52,43,60,50,65,Charmander,2
https://img.pokemondb.net/sprites/sword-shield/icon/charmeleon.png,5,Charmeleon,Fire,,405,58,64,58,80,65,80,Charmeleon,4
https://img.pokemondb.net/sprites/sword-shield/icon/charizard.png,6,Charizard,Fire,Flying,534,78,84,78,109,85,100,Charizard,0
https://img.pokemondb.net/sprites/sword-shield/icon/charizard-mega-x.png,6,Charizard Mega Charizard X,Fire,Dragon,634,78,130,111,130,85,100,Mega Charizard X,3
https://img.pokemondb.net/sprites/sword-shield/icon/charizard-mega-y.png,6,Charizard Mega Charizard Y,Fire,Flying,634,78,104,78,159,115,100,Mega Charizard Y,3
https://img.pokemondb.net/sprites/sword-shield/icon/squirtle.png,7,Squirtle,Water,,314,44,48,65,50,64,43,Squirtle,2
https://img.pokemondb.net/sprites/sword-shield/icon/wartortle.png,8,Wartortle,Water,,405,59,63,80,65,80,58,Wartortle,4
https://img.pokemondb.net/sprites/sword-shield/icon/blastoise.png,9,Blastoise,Water,,530,79,83,100,85,105,78,Blastoise,0
https://img.pokemondb.net/sprites/sword-shield/icon/blastoise-mega.png,9,Blastoise Mega Blastoise,Water,,630,79,103,120,135,115,78,Mega Blastoise,3
https://img.pokemondb.net/sprites/sword-shield/icon/caterpie.png,10,Caterpie,Bug,,195,45,30,35,20,20,45,Caterpie,2
https://img.pokemondb.net/sprites/sword-shield/icon/metapod.png,11,Metapod,Bug,,205,50,20,55,25,25,30,Metapod,2
https://img.pokemondb.net/sprites/sword-shield/icon/butterfree.png,12,Butterfree,Bug,Flying,395,60,45,50,90,80,70,Butterfree,4
https://img.pokemondb.net/sprites/sword-shield/icon/weedle.png,13,Weedle,Bug,Poison,195,40,35,30,20,20,50,Weedle,2
https://img.pokemondb.net/sprites/sword-shield/icon/kakuna.png,14,Kakuna,Bug,Poison,205,45,25,50,25,25,35,Kakuna,2
https://img.pokemondb.net/sprites/sword-shield/icon/beedrill.png,15,Beedrill,Bug,Poison,395,65,90,40,45,80,75,Beedrill,4
https://img.pokemondb.net/sprites/sword-shield/icon/beedrill-mega.png,15,Beedrill Mega Beedrill,Bug,Poison,495,65,150,40,15,80,145,Mega Beedrill,4
https://img.pokemondb.net/sprites/sword-shield/icon/pidgey.png,16,Pidgey,Normal,Flying,251,40,45,40,35,35,56,Pidgey,2
https://img.pokemondb.net/sprites/sword-shield/icon/pidgeotto.png,17,Pidgeotto,Normal,Flying,349,63,60,55,50,50,71,Pidgeotto,2
https://img.pokemondb.net/sprites/sword-shield/icon/pidgeot.png,18,Pidgeot,Normal,Flying,479,83,80,75,70,70,101,Pidgeot,4
https://img.pokemondb.net/sprites/sword-shield/icon/pidgeot-mega.png,18,Pidgeot Mega Pidgeot,Normal,Flying,579,83,80,80,135,80,121,Mega Pidgeot,0
https://img.pokemondb.net/sprites/sword-shield/icon/rattata.png,19,Rattata,Normal,,253,30,56,35,25,35,72,Rattata,2
https://img.pokemondb.net/sprites/sword-shield/icon/rattata-alolan.png,19,Rattata Alolan Rattata,Dark,Normal,253,30,56,35,25,35,72,Alolan Rattata,2
https://img.pokemondb.net/sprites/sword-shield/icon/raticate.png,20,Raticate,Normal,,413,55,81,60,50,70,97,Raticate,4
https://img.pokemondb.net/sprites/sword-shield/icon/raticate-alolan.png,20,Raticate Alolan Raticate,Dark,Normal,413,75,71,70,40,80,77,Alolan Raticate,4
https://img.pokemondb.net/sprites/sword-shield/icon/spearow.png,21,Spearow,Normal,Flying,262,40,60,30,31,31,70,Spearow,2
